sample_id,session,split,distance_calc_m,distance_ref_m,yaw_calc_deg,yaw_ref_deg,notes
A01,A,train,5.08,5.00,-6.12,-6.00,合成示例：近距离左侧
A02,A,train,8.13,8.00,-3.10,-3.00,合成示例
A03,A,train,10.15,10.00,0.12,0.20,合成示例
A04,A,train,13.20,13.00,3.88,4.00,合成示例
A05,A,train,16.24,16.00,5.88,6.00,合成示例
A06,A,train,20.30,20.00,1.91,2.00,合成示例
B01,B,validation,6.11,6.00,-4.11,-4.00,独立合成验证批次
B02,B,validation,11.17,11.00,-1.09,-1.00,独立合成验证批次
B03,B,validation,18.28,18.00,4.90,5.00,独立合成验证批次
X01,A,excluded,12.90,10.00,3.00,0.00,演示排除项：误识别；保留记录
